t,theta
0.0,3.446854830379036
0.005,3.463728619045778
0.01,3.483670369288291
0.015,3.509748042682347
0.02,3.535825716076403
0.025,3.5680393126220014
0.03,3.6002529091675997
0.035,3.6355344672889696
0.04,3.6738839869861106
0.045,3.713767487471137
0.05,3.756718949531935
0.055,3.8027383731685043
0.06,3.848757796805074
0.065,3.8978451820174143
0.07,3.9484665480176404
0.075,4.000621894805752
0.08,4.051243260805978
0.085,4.104932588381976
0.09,4.157087935170088
0.095,4.2123112435339705
0.1,4.266000571109968
0.105,4.319689898685965
0.11,4.373379226261963
0.115,4.424000592262189
0.12,4.476155939050301
0.125,4.5237093434747555
0.13,4.571262747899211
0.135,4.615748190747894
0.14,4.657165672020807
0.145,4.695515191717948
0.15,4.733864711415088
0.155,4.767612288748572
0.16,4.7998258852941715
0.165,4.828971520263998
0.17,4.855049193658054
0.17500000000000002,4.878058905476339
0.18,4.898000655718852
0.185,4.9133404635977085
0.19,4.928680271476565
0.195,4.937884156203879
0.2,4.944020079355422
0.20500000000000002,4.947088040931193
0.21,4.947088040931193
0.215,4.944020079355422
0.22,4.936350175415993
0.225,4.92714629068868
0.23,4.914874444385594
0.23500000000000001,4.898000655718852
0.24,4.878058905476339
0.245,4.85658317444594
0.25,4.833573462627656
0.255,4.804427827657828
0.26,4.775282192688001
0.265,4.741534615354517
0.27,4.707787038021033
0.275,4.6709714991117774
0.28,4.632621979414636
0.28500000000000003,4.591204498141724
0.29,4.551320997656697
0.295,4.5068355548080135
0.3,4.463884092747215
0.305,4.416330688322761
0.31,4.370311264686192
0.315,4.322757860261737
0.32,4.276738436625168
0.325,4.227651051412827
0.33,4.183165608564144
0.335,4.135612204139688
0.34,4.09266074207889
0.34500000000000003,4.049709280018092
0.35000000000000003,4.00829179874518
0.355,3.9668743174722683
0.36,3.9269908169872414
0.365,3.8917092588658715
0.37,3.8548937199566162
0.375,3.821146142623132
0.38,3.788932546077534
0.385,3.7597869111077067
0.39,3.730641276137879
0.395,3.706097583531709
0.4,3.6830878717134246
0.405,3.6646801022587967
0.41000000000000003,3.646272332804169
0.41500000000000004,3.6340004865010838
0.42,3.6217286401979987
0.425,3.6140587362585705
0.43,3.6094567938949136
0.435,3.6079228131070282
0.44,3.6094567938949136
0.445,3.6140587362585705
0.45,3.6217286401979987
0.455,3.6324665057131984
0.46,3.6447383520162835
0.465,3.6616121406830255
0.47000000000000003,3.680019910137653
0.47500000000000003,3.6999616603801666
0.48,3.724505352986337
0.485,3.7505830263803928
0.49,3.778194680562334
0.495,3.810408277107933
0.5,3.842621873653531
0.505,3.8763694509870152
0.51,3.9131849898962705
0.515,3.950000528805526
0.52,3.988350048502667
0.525,4.028233548987694
0.53,4.066583068684834
0.535,4.108000549957747
0.54,4.14941803123066
0.545,4.193903474079343
0.55,4.235320955352255
0.555,4.278272417413053
0.56,4.319689898685965
0.5650000000000001,4.361107379958878
0.5700000000000001,4.400990880443905
0.5750000000000001,4.440874380928931
0.58,4.479223900626073
0.585,4.514505458747442
0.59,4.5497870168688115
0.595,4.58200061341441
0.6,4.612680229172123
0.605,4.640291883354065
0.61,4.667903537536006
0.615,4.693981210930062
0.62,4.715456941960461
0.625,4.735398692202974
0.63,4.752272480869716
0.635,4.767612288748572
0.64,4.779884135051658
0.645,4.787554038991086
0.65,4.795223942930514
0.655,4.798291904506286
0.66,4.7998258852941715
0.665,4.798291904506286
0.67,4.792155981354743
0.675,4.7860200582032
0.68,4.775282192688001
0.685,4.764544327172802
0.6900000000000001,4.749204519293945
0.6950000000000001,4.732330730627203
0.7000000000000001,4.7139229611725755
0.705,4.692447230142176
0.71,4.669437518323892
0.715,4.6448938257177215
0.72,4.61728217153578
0.725,4.589670517353839
0.73,4.558990901596125
0.735,4.526777305050527
0.74,4.494563708504929
0.745,4.459282150383559
0.75,4.425534573050075
0.755,4.390253014928705
0.76,4.354971456807335
0.765,4.31815591789808
0.77,4.2813403789888245
0.775,4.244524840079569
0.78,4.2092432819582
0.785,4.172427743048944
0.79,4.13868016571546
0.795,4.10339860759409
0.8,4.071185011048492
0.805,4.038971414502893
0.81,4.009825779533066
0.8150000000000001,3.9791461637753534
0.8200000000000001,3.9515345095934116
0.8250000000000001,3.9239228554114702
0.8300000000000001,3.8993791628053
0.835,3.8748354701991294
0.84,3.8533597391687304
0.845,3.833417988926217
0.85,3.816544200259475
0.855,3.801204392380619
0.86,3.787398565289648
0.865,3.7766606997744487
0.87,3.767456815047135
0.875,3.7597869111077067
0.88,3.756718949531935
0.885,3.7551849687440497
0.89,3.756718949531935
0.895,3.7597869111077067
0.9,3.765922834259249
0.905,3.773592738198677
0.91,3.784330603713877
0.915,3.796602450016962
0.92,3.810408277107933
0.925,3.827282065774675
0.93,3.8456898352293023
0.935,3.865631585471816
0.9400000000000001,3.8886412972901003
0.9450000000000001,3.911651009108385
0.9500000000000001,3.9361947017145553
0.9550000000000001,3.9622723751086113
0.96,3.9898840292905526
0.965,4.01902966426038
0.97,4.049709280018092
0.975,4.07885491498792
0.98,4.109534530745632
0.985,4.140214146503346
0.99,4.17396172383683
0.995,4.206175320382428
1.0,4.239922897715912
1.0050000000000001,4.273670475049396
1.01,4.305884071594995
1.0150000000000001,4.338097668140593
1.02,4.370311264686192
1.025,4.399456899656019
1.03,4.428602534625846
1.035,4.457748169595673
1.04,4.485359823777615
1.045,4.509903516383785
1.05,4.534447208989955
1.055,4.55745692080824
1.06,4.577398671050753
1.065,4.595806440505381
1.07,4.612680229172123
1.075,4.626486056263094
1.08,4.638757902566179
1.085,4.649495768081378
1.09,4.658699652808692
1.095,4.663301595172349
1.1,4.667903537536006
1.105,4.669437518323892
1.11,4.669437518323892
1.115,4.66636955674812
1.12,4.6617676143844635
1.125,4.655631691232921
1.1300000000000001,4.647961787293493
1.135,4.637223921778293
1.1400000000000001,4.624952075475208
1.145,4.611146248384237
1.1500000000000001,4.594272459717495
1.155,4.577398671050753
1.16,4.558990901596125
1.165,4.539049151353613
1.17,4.517573420323213
1.175,4.494563708504929
1.18,4.470020015898759
1.185,4.4454763232925885
1.19,4.4193986498985325
1.195,4.394854957292362
1.2,4.3672433031104205
1.205,4.339631648928479
1.21,4.312019994746537
1.215,4.284408340564596
1.22,4.2552627055947685
1.225,4.227651051412827
1.23,4.200039397230886
1.235,4.17396172383683
1.24,4.146350069654888
1.245,4.121806377048718
1.25,4.095728703654662
1.2550000000000001,4.0727189918363775
1.26,4.049709280018092
1.2650000000000001,4.028233548987694
1.27,4.006757817957295
1.2750000000000001,3.988350048502667
1.28,3.9699422790480394
1.285,3.9530684903812974
1.29,3.9377286825024407
1.295,3.9254568361993556
1.3,3.9131849898962705
1.305,3.902447124381071
1.31,3.894777220441643
1.315,3.8871073165022145
1.32,3.882505374138558
1.325,3.8794374125627864
1.33,3.8794374125627864
1.335,3.8794374125627864
1.34,3.8840393549264434
1.345,3.8886412972901003
1.35,3.8932432396537573
1.355,3.9009131435931854
1.36,3.911651009108385
1.365,3.9223888746235844
1.37,3.9346607209266695
1.375,3.9484665480176404
1.3800000000000001,3.9638063558964967
1.385,3.9791461637753534
1.3900000000000001,3.9975539332299808
1.395,4.015961702684608
1.4000000000000001,4.035903452927122
1.405,4.0558452031696355
1.41,4.077320934200034
1.415,4.0987966652304335
1.42,4.121806377048718
1.425,4.144816088867002
1.43,4.169359781473172
1.435,4.192369493291458
1.44,4.216913185897628
1.445,4.241456878503798
1.45,4.266000571109968
1.455,4.290544263716138
1.46,4.313553975534423
1.465,4.336563687352708
1.47,4.358039418383107
1.475,4.379515149413505
1.48,4.399456899656019
1.485,4.4193986498985325
1.49,4.43780641935316
1.495,4.454680208019902
1.5,4.471553996686644
1.5050000000000001,4.485359823777615
1.51,4.4976316700806995
1.5150000000000001,4.509903516383785
1.52,4.520641381898985
1.5250000000000001,4.528311285838413
1.53,4.535981189777841
1.5350000000000001,4.542117112929383
1.54,4.545185074505155
1.545,4.548253036080926
1.55,4.548253036080926
1.555,4.546719055293041
1.56,4.545185074505155
1.565,4.542117112929383
1.57,4.535981189777841
1.575,4.529845266626299
1.58,4.522175362686871
1.585,4.512971477959557
1.59,4.503767593232243
1.595,4.491495746929157
1.6,4.479223900626073
1.605,4.465418073535101
1.61,4.451612246444131
1.615,4.4362724385652745
1.62,4.4193986498985325
1.625,4.40252486123179
1.6300000000000001,4.385651072565048
1.635,4.365709322322535
1.6400000000000001,4.347301552867907
1.645,4.328893783413279
1.6500000000000001,4.308952033170766
1.655,4.290544263716138
1.6600000000000001,4.270602513473625
1.665,4.250660763231112
1.67,4.230719012988598
1.675,4.213845224321856
1.68,4.192369493291458
1.685,4.175495704624716
1.69,4.155553954382202
1.695,4.13868016571546
1.7,4.121806377048718
1.705,4.108000549957747
1.71,4.09266074207889
1.715,4.07885491498792
1.72,4.065049087896949
1.725,4.05431122238175
1.73,4.04357335686655
1.735,4.034369472139236
1.74,4.023631606624037
1.745,4.017495683472494
1.75,4.009825779533066
1.7550000000000001,4.005223837169409
1.76,3.9990879140178666
1.7650000000000001,3.9975539332299808
1.77,3.9960199524420954
1.7750000000000001,3.9960199524420954
1.78,3.9960199524420954
1.7850000000000001,3.9990879140178666
1.79,4.002155875593638
1.795,4.006757817957295
1.8,4.011359760320952
1.805,4.01902966426038
1.81,4.025165587411922
1.815,4.034369472139236
1.82,4.04357335686655
1.825,4.05431122238175
1.83,4.065049087896949
1.835,4.075786953412148
1.84,4.08959278050312
1.845,4.10339860759409
1.85,4.1172044346850605
1.855,4.131010261776032
1.86,4.146350069654888
1.865,4.16322385832163
1.87,4.178563666200486
1.875,4.193903474079343
1.8800000000000001,4.210777262746085
1.885,4.226117070624942
1.8900000000000001,4.242990859291684
1.895,4.259864647958426
1.9000000000000001,4.276738436625168
1.905,4.292078244504024
1.9100000000000001,4.305884071594995
1.915,4.321223879473851
1.92,4.335029706564822
1.925,4.348835533655793
1.93,4.361107379958878
1.935,4.373379226261963
1.94,4.385651072565048
1.945,4.394854957292362
1.95,4.404058842019676
1.955,4.413262726746989
1.96,4.420932630686418
1.965,4.427068553837961
1.97,4.431670496201617
1.975,4.4362724385652745
1.98,4.439340400141045
1.985,4.442408361716817
1.99,4.442408361716817
1.995,4.443942342504703
2.0,4.442408361716817
2.005,4.439340400141045
2.0100000000000002,4.4362724385652745
2.015,4.433204476989503
2.02,4.427068553837961
2.025,4.420932630686418
2.0300000000000002,4.414796707534875
2.035,4.407126803595447
2.04,4.399456899656019
2.045,4.391786995716591
2.05,4.382583110989277
2.055,4.373379226261963
2.06,4.362641360746763
2.065,4.351903495231564
2.07,4.3411656297163645
2.075,4.328893783413279
2.08,4.31815591789808
2.085,4.304350090807109
2.09,4.29361222529191
2.095,4.279806398200939
2.1,4.269068532685739
2.105,4.256796686382654
2.11,4.242990859291684
2.115,4.230719012988598
2.12,4.218447166685513
2.125,4.206175320382428
2.13,4.195437454867228
2.1350000000000002,4.184699589352029
2.14,4.17396172383683
2.145,4.164757839109516
2.15,4.154019973594316
2.1550000000000002,4.144816088867002
2.16,4.137146184927574
2.165,4.129476280988146
2.17,4.121806377048718
2.1750000000000003,4.115670453897176
2.18,4.109534530745632
2.185,4.104932588381976
2.19,4.100330646018318
2.195,4.097262684442548
2.2,4.094194722866776
2.205,4.09266074207889
2.21,4.09266074207889
2.215,4.09266074207889
2.22,4.09266074207889
2.225,4.094194722866776
2.23,4.095728703654662
2.235,4.0987966652304335
2.24,4.101864626806204
2.245,4.106466569169862
2.25,4.111068511533518
2.255,4.1172044346850605
2.2600000000000002,4.121806377048718
2.265,4.12794230020026
2.27,4.135612204139688
2.275,4.1417481272912315
2.2800000000000002,4.14941803123066
2.285,4.157087935170088
2.29,4.164757839109516
2.295,4.17396172383683
2.3000000000000003,4.183165608564144
2.305,4.192369493291458
2.31,4.200039397230886
2.315,4.2092432819582
2.32,4.218447166685513
2.325,4.227651051412827
2.33,4.236854936140141
2.335,4.246058820867455
2.34,4.253728724806883
2.345,4.262932609534197
2.35,4.2721364942615105
2.355,4.279806398200939
2.36,4.287476302140367
2.365,4.295146206079795
2.37,4.302816110019223
2.375,4.308952033170766
2.38,4.315087956322309
2.3850000000000002,4.321223879473851
2.39,4.3242918410496225
2.395,4.330427764201165
2.4,4.335029706564822
2.4050000000000002,4.338097668140593
2.41,4.339631648928479
2.415,4.34269961050425
2.42,4.344233591292136
2.4250000000000003,4.345767572080021
2.43,4.345767572080021
2.435,4.345767572080021
2.44,4.344233591292136
2.445,4.34269961050425
2.45,4.3411656297163645
2.455,4.338097668140593
2.46,4.336563687352708
2.465,4.333495725776936
2.47,4.330427764201165
2.475,4.325825821837508
2.48,4.321223879473851
2.485,4.31815591789808
2.49,4.313553975534423
2.495,4.3074180523828804
2.5,4.301282129231338
2.505,4.296680186867681
2.5100000000000002,4.292078244504024
2.515,4.285942321352481
2.52,4.278272417413053
2.525,4.273670475049396
2.5300000000000002,4.267534551897854
2.535,4.261398628746311
2.54,4.2552627055947685
2.545,4.249126782443226
2.5500000000000003,4.242990859291684
2.555,4.236854936140141
2.56,4.232252993776484
2.565,4.226117070624942
2.57,4.219981147473399
2.575,4.215379205109742
2.58,4.210777262746085
2.585,4.206175320382428
